Rates for C4H71-3=C2H4+C2H3
P = 1.0E-2
T (K) 	 k 
200.000000 	 9.39314e-50 
225.000000 	 2.08652e-42 
250.000000 	 1.38206e-36 
275.000000 	 7.20831e-32 
300.000000 	 5.65638e-28 
325.000000 	 1.04763e-24 
350.000000 	 6.33477e-22 
375.000000 	 1.58872e-19 
400.000000 	 1.97414e-17 
425.000000 	 1.38575e-15 
450.000000 	 6.04945e-14 
475.000000 	 1.76389e-12 
500.000000 	 3.62958e-11 
525.000000 	 5.51016e-10 
550.000000 	 6.40545e-09 
575.000000 	 5.88616e-08 
600.000000 	 4.39488e-07 
625.000000 	 2.73049e-06 
650.000000 	 1.44111e-05 
675.000000 	 6.57849e-05 
700.000000 	 0.000263827 
725.000000 	 0.000942316 
750.000000 	 0.00303343 
775.000000 	 0.00889324 
800.000000 	 0.0239637 
825.000000 	 0.05983 
850.000000 	 0.139396 
875.000000 	 0.30499 
900.000000 	 0.630176 
925.000000 	 1.23579 
950.000000 	 2.31033 
975.000000 	 4.13411 
1000.000000 	 7.10599 
1025.000000 	 11.7708 
1050.000000 	 18.8445 
1075.000000 	 29.2354 
1100.000000 	 44.0569 
1125.000000 	 64.6306 
1150.000000 	 92.478 
1175.000000 	 129.299 
1200.000000 	 176.938 
1225.000000 	 237.338 
1250.000000 	 312.487 
1275.000000 	 404.356 
1300.000000 	 514.835 
1325.000000 	 645.668 
1350.000000 	 798.392 
1375.000000 	 974.28 
1400.000000 	 1174.3 
1425.000000 	 1399.07 
1450.000000 	 1648.86 
1475.000000 	 1923.53 
1500.000000 	 2222.58 
1525.000000 	 2545.15 
1550.000000 	 2890.02 
1575.000000 	 3255.64 
1600.000000 	 3640.22 
1625.000000 	 4041.7 
1650.000000 	 4457.84 
1675.000000 	 4886.24 
1700.000000 	 5324.4 
1725.000000 	 5769.79 
1750.000000 	 6219.83 
1775.000000 	 6671.98 
1800.000000 	 7123.77 
1825.000000 	 7572.8 
1850.000000 	 8016.79 
1875.000000 	 8453.6 
1900.000000 	 8881.26 
1925.000000 	 9297.94 
1950.000000 	   9702 
1975.000000 	  10092 
2000.000000 	 10466.5 
