Rates for CH2CH2CHO=C2H5+CO
P = 9.869E0
T (K) 	 k 
200.000000 	 4.1308e-16 
225.000000 	 3.77332e-14 
250.000000 	 1.54109e-12 
275.000000 	 3.47392e-11 
300.000000 	 4.98298e-10 
325.000000 	 5.03638e-09 
350.000000 	 3.90048e-08 
375.000000 	 2.53166e-07 
400.000000 	 1.53254e-06 
425.000000 	 9.3795e-06 
450.000000 	 5.74547e-05 
475.000000 	 0.000329473 
500.000000 	 0.00168227 
525.000000 	 0.00751813 
550.000000 	 0.0294737 
575.000000 	 0.102372 
600.000000 	 0.318806 
625.000000 	 0.900629 
650.000000 	 2.33274 
675.000000 	 5.59228 
700.000000 	 12.5114 
725.000000 	 26.3123 
750.000000 	 52.3459 
775.000000 	 99.0541 
800.000000 	 179.155 
825.000000 	 311.025 
850.000000 	 520.239 
875.000000 	 841.185 
900.000000 	 1318.68 
925.000000 	 2009.5 
950.000000 	 2983.68 
975.000000 	 4325.6 
1000.000000 	 6134.64 
1025.000000 	 8525.45 
1050.000000 	 11627.8 
1075.000000 	  15586 
1100.000000 	 20557.6 
1125.000000 	 26712.5 
1150.000000 	 34230.3 
1175.000000 	  43299 
1200.000000 	 54112.3 
1225.000000 	 66867.3 
1250.000000 	 81762.1 
1275.000000 	 98993.6 
1300.000000 	 118755 
1325.000000 	 141234 
1350.000000 	 166610 
1375.000000 	 195057 
1400.000000 	 226734 
1425.000000 	 261795 
1450.000000 	 300381 
1475.000000 	 342621 
1500.000000 	 388638 
1525.000000 	 438543 
1550.000000 	 492443 
1575.000000 	 550439 
1600.000000 	 612629 
1625.000000 	 679111 
1650.000000 	 749988 
1675.000000 	 825371 
1700.000000 	 905379 
1725.000000 	 990151 
1750.000000 	 1.07984e+06 
1775.000000 	 1.17464e+06 
1800.000000 	 1.27476e+06 
1825.000000 	 1.38045e+06 
1850.000000 	 1.492e+06 
1875.000000 	 1.60976e+06 
1900.000000 	 1.73414e+06 
1925.000000 	 1.8656e+06 
1950.000000 	 2.00467e+06 
1975.000000 	 2.15198e+06 
2000.000000 	 2.30824e+06 
