Rates for C4H6+H=C4H6-2+H
P = 1.0E1
T (K) 	 k 
200.000000 	 1.20812e-14 
225.000000 	 8.74382e-12 
250.000000 	 1.73369e-09 
275.000000 	 1.3389e-07 
300.000000 	 5.10399e-06 
325.000000 	 0.000113629 
350.000000 	 0.00167549 
375.000000 	 0.0180333 
400.000000 	 0.15245 
425.000000 	 1.06454 
450.000000 	 6.32845 
475.000000 	 32.5644 
500.000000 	 146.557 
525.000000 	 582.03 
550.000000 	 2058.55 
575.000000 	 6546.94 
600.000000 	 18904.9 
625.000000 	  50026 
650.000000 	 122361 
675.000000 	 278822 
700.000000 	 596087 
725.000000 	 1.20316e+06 
750.000000 	 2.30568e+06 
775.000000 	 4.21591e+06 
800.000000 	 7.38774e+06 
825.000000 	 1.24554e+07 
850.000000 	 2.02738e+07 
875.000000 	 3.1959e+07 
900.000000 	 4.89245e+07 
925.000000 	 7.29139e+07 
950.000000 	 1.06025e+08 
975.000000 	 1.50723e+08 
1000.000000 	 2.09849e+08 
1025.000000 	 2.86612e+08 
1050.000000 	 3.8457e+08 
1075.000000 	 5.0761e+08 
1100.000000 	 6.59906e+08 
1125.000000 	 8.45881e+08 
1150.000000 	 1.07016e+09 
1175.000000 	 1.33751e+09 
1200.000000 	 1.65281e+09 
1225.000000 	 2.02097e+09 
1250.000000 	 2.44691e+09 
1275.000000 	 2.9355e+09 
1300.000000 	 3.49151e+09 
1325.000000 	 4.11959e+09 
1350.000000 	 4.82426e+09 
1375.000000 	 5.60984e+09 
1400.000000 	 6.48048e+09 
1425.000000 	 7.44013e+09 
1450.000000 	 8.49255e+09 
1475.000000 	 9.6413e+09 
1500.000000 	 1.08898e+10 
1525.000000 	 1.22412e+10 
1550.000000 	 1.36987e+10 
1575.000000 	 1.52652e+10 
1600.000000 	 1.69436e+10 
1625.000000 	 1.87367e+10 
1650.000000 	 2.06473e+10 
1675.000000 	 2.26782e+10 
1700.000000 	 2.48321e+10 
1725.000000 	 2.71121e+10 
1750.000000 	 2.95209e+10 
1775.000000 	 3.20618e+10 
1800.000000 	 3.4738e+10 
1825.000000 	 3.75528e+10 
1850.000000 	 4.05099e+10 
1875.000000 	 4.3613e+10 
1900.000000 	 4.68664e+10 
1925.000000 	 5.02741e+10 
1950.000000 	 5.38409e+10 
1975.000000 	 5.75716e+10 
2000.000000 	 6.14714e+10 
