Rates for C4H6+H=C3H4-A+CH3
P = 1.0E0
T (K) 	 k 
200.000000 	 5.58771e-12 
225.000000 	 6.53973e-09 
250.000000 	 1.2091e-06 
275.000000 	 6.27911e-05 
300.000000 	 0.00142079 
325.000000 	 0.0208803 
350.000000 	 0.260426 
375.000000 	 2.78299 
400.000000 	 23.7647 
425.000000 	 159.816 
450.000000 	 864.676 
475.000000 	 3875.5 
500.000000 	 14785.9 
525.000000 	 49139.2 
550.000000 	 145008 
575.000000 	 386044 
600.000000 	 939520 
625.000000 	 2.11357e+06 
650.000000 	 4.43643e+06 
675.000000 	 8.75818e+06 
700.000000 	 1.63723e+07 
725.000000 	 2.91515e+07 
750.000000 	 4.96891e+07 
775.000000 	 8.14363e+07 
800.000000 	 1.28823e+08 
825.000000 	 1.97355e+08 
850.000000 	 2.93673e+08 
875.000000 	 4.25572e+08 
900.000000 	 6.01977e+08 
925.000000 	 8.32872e+08 
950.000000 	 1.12919e+09 
975.000000 	 1.50264e+09 
1000.000000 	 1.96557e+09 
1025.000000 	 2.53069e+09 
1050.000000 	 3.21092e+09 
1075.000000 	 4.01909e+09 
1100.000000 	 4.96778e+09 
1125.000000 	 6.06902e+09 
1150.000000 	 7.33416e+09 
1175.000000 	 8.77362e+09 
1200.000000 	 1.03968e+10 
1225.000000 	 1.22117e+10 
1250.000000 	 1.42254e+10 
1275.000000 	 1.64431e+10 
1300.000000 	 1.88689e+10 
1325.000000 	 2.15054e+10 
1350.000000 	 2.43534e+10 
1375.000000 	 2.74126e+10 
1400.000000 	 3.0681e+10 
1425.000000 	 3.41556e+10 
1450.000000 	 3.78317e+10 
1475.000000 	 4.17036e+10 
1500.000000 	 4.57645e+10 
1525.000000 	 5.00065e+10 
1550.000000 	 5.44209e+10 
1575.000000 	 5.89982e+10 
1600.000000 	 6.37281e+10 
1625.000000 	 6.85997e+10 
1650.000000 	 7.36019e+10 
1675.000000 	 7.87229e+10 
1700.000000 	 8.39509e+10 
1725.000000 	 8.92737e+10 
1750.000000 	 9.46791e+10 
1775.000000 	 1.00155e+11 
1800.000000 	 1.05689e+11 
1825.000000 	 1.11269e+11 
1850.000000 	 1.16884e+11 
1875.000000 	 1.22522e+11 
1900.000000 	 1.28171e+11 
1925.000000 	 1.33821e+11 
1950.000000 	 1.39461e+11 
1975.000000 	 1.45081e+11 
2000.000000 	 1.50671e+11 
