Rates for CH2CH2CHO=C2H5+CO
P = 9.869E-4
T (K) 	 k 
200.000000 	 4.3087e-23 
225.000000 	 3.36256e-18 
250.000000 	 1.61002e-14 
275.000000 	 1.0635e-11 
300.000000 	 1.6498e-09 
325.000000 	 8.63754e-08 
350.000000 	 1.96944e-06 
375.000000 	 2.35072e-05 
400.000000 	 0.00016824 
425.000000 	 0.000799622 
450.000000 	 0.00272892 
475.000000 	 0.00710519 
500.000000 	 0.0148027 
525.000000 	 0.0256303 
550.000000 	 0.038023 
575.000000 	 0.049541 
600.000000 	 0.0578543 
625.000000 	 0.0615979 
650.000000 	 0.0607033 
675.000000 	 0.0562245 
700.000000 	 0.0499284 
725.000000 	 0.0439193 
750.000000 	 0.040425 
775.000000 	 0.0417195 
800.000000 	 0.0500833 
825.000000 	 0.0677011 
850.000000 	 0.0964566 
875.000000 	 0.137647 
900.000000 	 0.191688 
925.000000 	 0.257897 
950.000000 	 0.334416 
975.000000 	 0.418312 
1000.000000 	 0.505835 
1025.000000 	 0.592784 
1050.000000 	 0.674921 
1075.000000 	 0.748365 
1100.000000 	 0.809908 
1125.000000 	 0.85723 
1150.000000 	 0.888992 
1175.000000 	 0.904824 
1200.000000 	 0.90523 
1225.000000 	 0.891422 
1250.000000 	 0.86514 
1275.000000 	 0.828455 
1300.000000 	 0.783589 
1325.000000 	 0.732762 
1350.000000 	 0.678072 
1375.000000 	 0.62141 
1400.000000 	 0.564407 
1425.000000 	 0.508412 
1450.000000 	 0.454486 
1475.000000 	 0.40342 
1500.000000 	 0.355763 
1525.000000 	 0.311848 
1550.000000 	 0.271833 
1575.000000 	 0.235734 
1600.000000 	 0.203457 
1625.000000 	 0.174827 
1650.000000 	 0.149616 
1675.000000 	 0.127561 
1700.000000 	 0.10838 
1725.000000 	 0.091789 
1750.000000 	 0.077509 
1775.000000 	 0.0652731 
1800.000000 	 0.0548316 
1825.000000 	 0.0459548 
1850.000000 	 0.038434 
1875.000000 	 0.0320819 
1900.000000 	 0.0267324 
1925.000000 	 0.022239 
1950.000000 	 0.0184737 
1975.000000 	 0.0153254 
2000.000000 	 0.0126983 
