Rates for C4H6+H=C3H4-A+CH3
P = 1.0E1
T (K) 	 k 
200.000000 	 5.47885e-14 
225.000000 	 3.45512e-11 
250.000000 	 6.15893e-09 
275.000000 	 4.37006e-07 
300.000000 	 1.55208e-05 
325.000000 	 0.000324024 
350.000000 	 0.0044809 
375.000000 	 0.0451643 
400.000000 	 0.35963 
425.000000 	 2.41376 
450.000000 	 14.2439 
475.000000 	 75.2006 
500.000000 	 355.668 
525.000000 	 1502.93 
550.000000 	 5675.19 
575.000000 	 19230.3 
600.000000 	 58879.7 
625.000000 	 164241 
650.000000 	 420921 
675.000000 	 999163 
700.000000 	 2.2133e+06 
725.000000 	 4.60638e+06 
750.000000 	 9.06223e+06 
775.000000 	 1.69441e+07 
800.000000 	 3.02551e+07 
825.000000 	 5.18125e+07 
850.000000 	 8.54234e+07 
875.000000 	 1.36049e+08 
900.000000 	 2.09942e+08 
925.000000 	 3.14745e+08 
950.000000 	 4.59542e+08 
975.000000 	 6.54844e+08 
1000.000000 	 9.12523e+08 
1025.000000 	 1.24568e+09 
1050.000000 	 1.66848e+09 
1075.000000 	 2.19587e+09 
1100.000000 	 2.84339e+09 
1125.000000 	 3.62682e+09 
1150.000000 	 4.56191e+09 
1175.000000 	 5.66409e+09 
1200.000000 	 6.9482e+09 
1225.000000 	 8.4282e+09 
1250.000000 	 1.0117e+10 
1275.000000 	 1.20262e+10 
1300.000000 	 1.41661e+10 
1325.000000 	 1.65455e+10 
1350.000000 	 1.91716e+10 
1375.000000 	 2.20501e+10 
1400.000000 	 2.51854e+10 
1425.000000 	 2.85804e+10 
1450.000000 	 3.22366e+10 
1475.000000 	 3.61546e+10 
1500.000000 	 4.03338e+10 
1525.000000 	 4.47731e+10 
1550.000000 	 4.94706e+10 
1575.000000 	 5.44239e+10 
1600.000000 	 5.96309e+10 
1625.000000 	 6.50889e+10 
1650.000000 	 7.07959e+10 
1675.000000 	 7.675e+10 
1700.000000 	 8.295e+10 
1725.000000 	 8.93954e+10 
1750.000000 	 9.60866e+10 
1775.000000 	 1.03025e+11 
1800.000000 	 1.10213e+11 
1825.000000 	 1.17655e+11 
1850.000000 	 1.25355e+11 
1875.000000 	 1.3332e+11 
1900.000000 	 1.41558e+11 
1925.000000 	 1.50078e+11 
1950.000000 	 1.58892e+11 
1975.000000 	 1.68012e+11 
2000.000000 	 1.77451e+11 
