Rates for CH2CH2CHO=C2H5+CO
P = 9.869E-2
T (K) 	 k 
200.000000 	 1.36375e+15 
225.000000 	 1.27383e+07 
250.000000 	 4.0624 
275.000000 	 1.71477e-05 
300.000000 	 5.33698e-10 
325.000000 	 8.12642e-10 
350.000000 	 1.51652e-08 
375.000000 	 1.85788e-07 
400.000000 	 1.61989e-06 
425.000000 	 1.06907e-05 
450.000000 	 5.60154e-05 
475.000000 	 0.000241935 
500.000000 	 0.000887517 
525.000000 	 0.00283284 
550.000000 	 0.00802379 
575.000000 	 0.0204966 
600.000000 	 0.0478591 
625.000000 	 0.103304 
650.000000 	 0.20809 
675.000000 	 0.394337 
700.000000 	 0.707862 
725.000000 	 1.21075 
750.000000 	 1.98336 
775.000000 	 3.12541 
800.000000 	 4.75602 
825.000000 	 7.01255 
850.000000 	 10.0483 
875.000000 	 14.029 
900.000000 	 19.1288 
925.000000 	 25.525 
950.000000 	 33.3931 
975.000000 	 42.9016 
1000.000000 	 54.2068 
1025.000000 	 67.4483 
1050.000000 	 82.7449 
1075.000000 	 100.192 
1100.000000 	 119.857 
1125.000000 	 141.782 
1150.000000 	 165.98 
1175.000000 	 192.434 
1200.000000 	  221.1 
1225.000000 	 251.909 
1250.000000 	 284.766 
1275.000000 	 319.556 
1300.000000 	 356.143 
1325.000000 	 394.374 
1350.000000 	 434.084 
1375.000000 	 475.095 
1400.000000 	 517.222 
1425.000000 	 560.276 
1450.000000 	 604.062 
1475.000000 	 648.389 
1500.000000 	 693.063 
1525.000000 	 737.896 
1550.000000 	 782.707 
1575.000000 	 827.32 
1600.000000 	 871.566 
1625.000000 	 915.288 
1650.000000 	 958.337 
1675.000000 	 1000.57 
1700.000000 	 1041.87 
1725.000000 	 1082.11 
1750.000000 	 1121.2 
1775.000000 	 1159.03 
1800.000000 	 1195.52 
1825.000000 	 1230.6 
1850.000000 	 1264.21 
1875.000000 	 1296.3 
1900.000000 	 1326.83 
1925.000000 	 1355.75 
1950.000000 	 1383.06 
1975.000000 	 1408.73 
2000.000000 	 1432.75 
