Rates for C4H71-3=C2H4+C2H3
P = 1.0E1
T (K) 	 k 
200.000000 	 2.90382e-52 
225.000000 	 5.53652e-45 
250.000000 	 3.14646e-39 
275.000000 	 1.3707e-34 
300.000000 	 8.69247e-31 
325.000000 	 1.31603e-27 
350.000000 	 7.64149e-25 
375.000000 	 2.53251e-22 
400.000000 	 5.21028e-20 
425.000000 	 6.25337e-18 
450.000000 	 4.42415e-16 
475.000000 	 1.95899e-14 
500.000000 	 5.80104e-13 
525.000000 	 1.21824e-11 
550.000000 	 1.90552e-10 
575.000000 	 2.31169e-09 
600.000000 	 2.24912e-08 
625.000000 	 1.80451e-07 
650.000000 	 1.22208e-06 
675.000000 	 7.12504e-06 
700.000000 	 3.63661e-05 
725.000000 	 0.000164836 
750.000000 	 0.000671752 
775.000000 	 0.00248777 
800.000000 	 0.00845072 
825.000000 	 0.0265455 
850.000000 	 0.0776611 
875.000000 	 0.212946 
900.000000 	 0.550313 
925.000000 	 1.34704 
950.000000 	 3.13691 
975.000000 	 6.97738 
1000.000000 	 14.8762 
1025.000000 	 30.4995 
1050.000000 	 60.3034 
1075.000000 	 115.286 
1100.000000 	 213.609 
1125.000000 	 384.422 
1150.000000 	 673.274 
1175.000000 	 1149.6 
1200.000000 	 1916.84 
1225.000000 	 3125.79 
1250.000000 	 4991.88 
1275.000000 	 7817.17 
1300.000000 	 12017.8 
1325.000000 	 18157.4 
1350.000000 	 26988.1 
1375.000000 	 39498.3 
1400.000000 	 56969.8 
1425.000000 	 81042.6 
1450.000000 	 113791 
1475.000000 	 157805 
1500.000000 	 216288 
1525.000000 	 293159 
1550.000000 	 393164 
1575.000000 	 522000 
1600.000000 	 686443 
1625.000000 	 894489 
1650.000000 	 1.15549e+06 
1675.000000 	 1.48033e+06 
1700.000000 	 1.88152e+06 
1725.000000 	 2.37343e+06 
1750.000000 	 2.97239e+06 
1775.000000 	 3.69687e+06 
1800.000000 	 4.56762e+06 
1825.000000 	 5.60785e+06 
1850.000000 	 6.84334e+06 
1875.000000 	 8.30262e+06 
1900.000000 	 1.00171e+07 
1925.000000 	 1.2021e+07 
1950.000000 	 1.43519e+07 
1975.000000 	 1.70504e+07 
2000.000000 	 2.01604e+07 
