Rates for C4H6+H=C3H4-A+CH3
P = 1.0E-1
T (K) 	 k 
200.000000 	 7.41578e-10 
225.000000 	 4.09871e-07 
250.000000 	 6.16192e-05 
275.000000 	 0.00360672 
300.000000 	 0.104331 
325.000000 	 1.75849 
350.000000 	 19.4206 
375.000000 	 153.128 
400.000000 	 919.206 
425.000000 	 4411.7 
450.000000 	  17585 
475.000000 	 59981.2 
500.000000 	 179308 
525.000000 	 478928 
550.000000 	 1.16108e+06 
575.000000 	 2.58824e+06 
600.000000 	 5.36266e+06 
625.000000 	 1.04211e+07 
650.000000 	 1.91386e+07 
675.000000 	 3.3434e+07 
700.000000 	 5.58661e+07 
725.000000 	 8.9714e+07 
750.000000 	 1.39031e+08 
775.000000 	 2.08666e+08 
800.000000 	 3.04256e+08 
825.000000 	 4.32176e+08 
850.000000 	 5.99463e+08 
875.000000 	 8.13707e+08 
900.000000 	 1.08292e+09 
925.000000 	 1.41541e+09 
950.000000 	 1.81959e+09 
975.000000 	 2.30387e+09 
1000.000000 	 2.87651e+09 
1025.000000 	 3.54548e+09 
1050.000000 	 4.3184e+09 
1075.000000 	 5.20247e+09 
1100.000000 	 6.20442e+09 
1125.000000 	 7.33059e+09 
1150.000000 	 8.58695e+09 
1175.000000 	 9.9792e+09 
1200.000000 	 1.15129e+10 
1225.000000 	 1.31938e+10 
1250.000000 	 1.50276e+10 
1275.000000 	 1.70205e+10 
1300.000000 	 1.91793e+10 
1325.000000 	 2.15114e+10 
1350.000000 	 2.40249e+10 
1375.000000 	 2.67288e+10 
1400.000000 	 2.96328e+10 
1425.000000 	 3.27473e+10 
1450.000000 	 3.60832e+10 
1475.000000 	 3.96518e+10 
1500.000000 	 4.34644e+10 
1525.000000 	 4.7532e+10 
1550.000000 	 5.18651e+10 
1575.000000 	 5.64732e+10 
1600.000000 	 6.13645e+10 
1625.000000 	 6.65455e+10 
1650.000000 	 7.20207e+10 
1675.000000 	 7.77922e+10 
1700.000000 	 8.38596e+10 
1725.000000 	 9.02198e+10 
1750.000000 	 9.68666e+10 
1775.000000 	 1.03791e+11 
1800.000000 	 1.10981e+11 
1825.000000 	 1.18421e+11 
1850.000000 	 1.26094e+11 
1875.000000 	 1.33979e+11 
1900.000000 	 1.42054e+11 
1925.000000 	 1.50293e+11 
1950.000000 	 1.58669e+11 
1975.000000 	 1.67154e+11 
2000.000000 	 1.75718e+11 
