Rates for C4H71-3=C2H4+C2H3
P = 1.0E2
T (K) 	 k 
200.000000 	 9.57033e-54 
225.000000 	 1.79998e-46 
250.000000 	 1.2163e-40 
275.000000 	 7.29921e-36 
300.000000 	 7.11472e-32 
325.000000 	 1.7112e-28 
350.000000 	 1.36935e-25 
375.000000 	 4.53982e-23 
400.000000 	 7.3512e-21 
425.000000 	 6.5944e-19 
450.000000 	 3.61499e-17 
475.000000 	 1.30906e-15 
500.000000 	 3.33545e-14 
525.000000 	 6.30407e-13 
550.000000 	 9.25404e-12 
575.000000 	 1.09985e-10 
600.000000 	 1.09907e-09 
625.000000 	 9.53803e-09 
650.000000 	 7.36278e-08 
675.000000 	 5.12572e-07 
700.000000 	 3.23443e-06 
725.000000 	 1.85062e-05 
750.000000 	 9.59608e-05 
775.000000 	 0.0004513 
800.000000 	 0.00193001 
825.000000 	 0.00753595 
850.000000 	  0.027 
875.000000 	 0.0892455 
900.000000 	 0.273643 
925.000000 	 0.782491 
950.000000 	 2.09739 
975.000000 	 5.29484 
1000.000000 	 12.645 
1025.000000 	 28.6843 
1050.000000 	 62.0382 
1075.000000 	 128.368 
1100.000000 	 254.923 
1125.000000 	 487.274 
1150.000000 	 898.882 
1175.000000 	 1604.2 
1200.000000 	 2775.99 
1225.000000 	 4667.45 
1250.000000 	 7639.68 
1275.000000 	 12194.7 
1300.000000 	 19014.5 
1325.000000 	 29004.9 
1350.000000 	 43345.9 
1375.000000 	 63546.1 
1400.000000 	 91501.7 
1425.000000 	 129560 
1450.000000 	 180587 
1475.000000 	 248039 
1500.000000 	 336036 
1525.000000 	 449451 
1550.000000 	 593994 
1575.000000 	 776319 
1600.000000 	 1.00414e+06 
1625.000000 	 1.28635e+06 
1650.000000 	 1.63321e+06 
1675.000000 	 2.05652e+06 
1700.000000 	 2.56983e+06 
1725.000000 	 3.18873e+06 
1750.000000 	 3.93113e+06 
1775.000000 	 4.81768e+06 
1800.000000 	 5.87213e+06 
1825.000000 	 7.1219e+06 
1850.000000 	 8.59861e+06 
1875.000000 	 1.03387e+07 
1900.000000 	 1.23844e+07 
1925.000000 	 1.47841e+07 
1950.000000 	 1.75939e+07 
1975.000000 	 2.0878e+07 
2000.000000 	 2.47103e+07 
