Rates for C4H6+H=C4H6-2+H
P = 1.0E-1
T (K) 	 k 
200.000000 	 8.19974e-10 
225.000000 	 2.21248e-07 
250.000000 	 1.9678e-05 
275.000000 	 0.000785191 
300.000000 	 0.0172681 
325.000000 	 0.2409 
350.000000 	 2.34984 
375.000000 	 17.1675 
400.000000 	 98.7679 
425.000000 	 464.813 
450.000000 	 1843.8 
475.000000 	 6316.7 
500.000000 	 19070.2 
525.000000 	 51598.6 
550.000000 	 126918 
575.000000 	 287253 
600.000000 	 604414 
625.000000 	 1.19279e+06 
650.000000 	 2.22453e+06 
675.000000 	 3.94629e+06 
700.000000 	 6.69675e+06 
725.000000 	 1.09241e+07 
750.000000 	 1.72025e+07 
775.000000 	 2.6248e+07 
800.000000 	 3.89318e+07 
825.000000 	 5.6292e+07 
850.000000 	 7.95439e+07 
875.000000 	 1.10087e+08 
900.000000 	 1.49513e+08 
925.000000 	 1.99607e+08 
950.000000 	 2.62354e+08 
975.000000 	 3.39936e+08 
1000.000000 	 4.34735e+08 
1025.000000 	 5.49331e+08 
1050.000000 	 6.86496e+08 
1075.000000 	 8.49192e+08 
1100.000000 	 1.04057e+09 
1125.000000 	 1.26394e+09 
1150.000000 	 1.5228e+09 
1175.000000 	 1.82079e+09 
1200.000000 	 2.16171e+09 
1225.000000 	 2.54949e+09 
1250.000000 	 2.98818e+09 
1275.000000 	 3.48193e+09 
1300.000000 	 4.03499e+09 
1325.000000 	 4.65171e+09 
1350.000000 	 5.33647e+09 
1375.000000 	 6.09371e+09 
1400.000000 	 6.92792e+09 
1425.000000 	 7.84359e+09 
1450.000000 	 8.84522e+09 
1475.000000 	 9.93729e+09 
1500.000000 	 1.11243e+10 
1525.000000 	 1.24106e+10 
1550.000000 	 1.38006e+10 
1575.000000 	 1.52987e+10 
1600.000000 	 1.69089e+10 
1625.000000 	 1.86356e+10 
1650.000000 	 2.04828e+10 
1675.000000 	 2.24544e+10 
1700.000000 	 2.45542e+10 
1725.000000 	 2.6786e+10 
1750.000000 	 2.91534e+10 
1775.000000 	 3.16598e+10 
1800.000000 	 3.43086e+10 
1825.000000 	 3.7103e+10 
1850.000000 	 4.00461e+10 
1875.000000 	 4.31406e+10 
1900.000000 	 4.63895e+10 
1925.000000 	 4.97953e+10 
1950.000000 	 5.33604e+10 
1975.000000 	 5.70873e+10 
2000.000000 	 6.0978e+10 
