Rates for CH2CH2CHO=C2H5+CO
P = 9.869E-3
T (K) 	 k 
200.000000 	 1.01782e+18 
225.000000 	 9.86156e+08 
250.000000 	 50.5659 
275.000000 	 4.72651e-05 
300.000000 	 4.75476e-10 
325.000000 	 1.42444e-09 
350.000000 	 1.6411e-08 
375.000000 	 1.34712e-07 
400.000000 	 8.40257e-07 
425.000000 	 4.18307e-06 
450.000000 	 1.72671e-05 
475.000000 	 6.09027e-05 
500.000000 	 0.000188004 
525.000000 	 0.000517884 
550.000000 	 0.00129332 
575.000000 	 0.00296656 
600.000000 	 0.00631817 
625.000000 	 0.0126087 
650.000000 	 0.0237592 
675.000000 	 0.0425507 
700.000000 	 0.0728325 
725.000000 	 0.119722 
750.000000 	 0.189785 
775.000000 	 0.291175 
800.000000 	 0.433736 
825.000000 	 0.629036 
850.000000 	 0.890358 
875.000000 	 1.23261 
900.000000 	 1.67222 
925.000000 	 2.22692 
950.000000 	 2.91552 
975.000000 	 3.7577 
1000.000000 	 4.77366 
1025.000000 	 5.98389 
1050.000000 	 7.40881 
1075.000000 	 9.06855 
1100.000000 	 10.9826 
1125.000000 	 13.1696 
1150.000000 	 15.6471 
1175.000000 	 18.4314 
1200.000000 	 21.5372 
1225.000000 	 24.9777 
1250.000000 	 28.7642 
1275.000000 	 32.9064 
1300.000000 	 37.412 
1325.000000 	 42.2869 
1350.000000 	 47.5349 
1375.000000 	 53.1581 
1400.000000 	 59.1567 
1425.000000 	 65.5293 
1450.000000 	 72.2727 
1475.000000 	 79.3819 
1500.000000 	 86.8506 
1525.000000 	 94.6712 
1550.000000 	 102.835 
1575.000000 	 111.33 
1600.000000 	 120.148 
1625.000000 	 129.274 
1650.000000 	 138.696 
1675.000000 	 148.401 
1700.000000 	 158.374 
1725.000000 	 168.599 
1750.000000 	 179.062 
1775.000000 	 189.747 
1800.000000 	 200.639 
1825.000000 	 211.72 
1850.000000 	 222.976 
1875.000000 	 234.39 
1900.000000 	 245.946 
1925.000000 	 257.628 
1950.000000 	 269.421 
1975.000000 	 281.309 
2000.000000 	 293.277 
