Rates for C4H6+H=C4H6-2+H
P = 1.0E0
T (K) 	 k 
200.000000 	 3.66913e-12 
225.000000 	 1.72236e-09 
250.000000 	 2.39302e-07 
275.000000 	 1.37863e-05 
300.000000 	 0.000414076 
325.000000 	 0.00761457 
350.000000 	 0.0960026 
375.000000 	 0.897218 
400.000000 	 6.5547 
425.000000 	 38.8442 
450.000000 	 191.961 
475.000000 	 808.887 
500.000000 	 2961.99 
525.000000 	 9582.48 
550.000000 	 27788.6 
575.000000 	 73158.7 
600.000000 	 176807 
625.000000 	 396067 
650.000000 	 829349 
675.000000 	 1.6353e+06 
700.000000 	 3.05583e+06 
725.000000 	 5.44211e+06 
750.000000 	 9.28197e+06 
775.000000 	 1.52272e+07 
800.000000 	 2.41186e+07 
825.000000 	 3.70076e+07 
850.000000 	 5.5173e+07 
875.000000 	 8.01312e+07 
900.000000 	 1.13641e+08 
925.000000 	 1.57703e+08 
950.000000 	 2.14549e+08 
975.000000 	 2.86634e+08 
1000.000000 	 3.7662e+08 
1025.000000 	 4.87356e+08 
1050.000000 	 6.21859e+08 
1075.000000 	 7.83298e+08 
1100.000000 	 9.74971e+08 
1125.000000 	 1.20029e+09 
1150.000000 	 1.46277e+09 
1175.000000 	 1.766e+09 
1200.000000 	 2.11366e+09 
1225.000000 	 2.50949e+09 
1250.000000 	 2.9573e+09 
1275.000000 	 3.46096e+09 
1300.000000 	 4.02441e+09 
1325.000000 	 4.65163e+09 
1350.000000 	 5.3467e+09 
1375.000000 	 6.11375e+09 
1400.000000 	 6.95698e+09 
1425.000000 	 7.88068e+09 
1450.000000 	 8.88921e+09 
1475.000000 	 9.98704e+09 
1500.000000 	 1.11787e+10 
1525.000000 	 1.24689e+10 
1550.000000 	 1.38622e+10 
1575.000000 	 1.53636e+10 
1600.000000 	 1.69779e+10 
1625.000000 	 1.87102e+10 
1650.000000 	 2.05656e+10 
1675.000000 	 2.25492e+10 
1700.000000 	 2.46664e+10 
1725.000000 	 2.69224e+10 
1750.000000 	 2.93228e+10 
1775.000000 	 3.18729e+10 
1800.000000 	 3.45783e+10 
1825.000000 	 3.74446e+10 
1850.000000 	 4.04774e+10 
1875.000000 	 4.36824e+10 
1900.000000 	 4.70653e+10 
1925.000000 	 5.06317e+10 
1950.000000 	 5.43874e+10 
1975.000000 	 5.8338e+10 
2000.000000 	 6.24893e+10 
